Size,Lipid,Orientation,Backbone,PeptideDensity,OligoDensity,Attachment,OligoConc
50,100%,3,PO,0.00,Low,Chol,1
80,100%,3,PO,0.00,Low,Chol,1
50,100%,3,PO,0.05,Low,Chol,1
80,100%,3,PO,0.05,Low,Chol,1
50,100%,3,PO,0.50,Low,Chol,1
80,100%,3,PO,0.50,Low,Chol,1
50,80%,3,PO,0.00,Low,Chol,1
80,80%,3,PO,0.00,Low,Chol,1
50,80%,3,PO,0.05,Low,Chol,1
80,80%,3,PO,0.05,Low,Chol,1
50,80%,3,PO,0.50,Low,Chol,1
80,80%,3,PO,0.50,Low,Chol,1
50,100%,3,PO,0.00,Low,DOPE,1
80,100%,3,PO,0.00,Low,DOPE,1
50,100%,3,PO,0.05,Low,DOPE,1
80,100%,3,PO,0.05,Low,DOPE,1
50,100%,3,PO,0.50,Low,DOPE,1
80,100%,3,PO,0.50,Low,DOPE,1
50,100%,3,PS,0.00,Low,Chol,1
80,100%,3,PS,0.00,Low,Chol,1
50,100%,3,PS,0.05,Low,Chol,1
80,100%,3,PS,0.05,Low,Chol,1
50,100%,3,PS,0.50,Low,Chol,1
80,100%,3,PS,0.50,Low,Chol,1
50,80%,3,PS,0.00,Low,Chol,1
80,80%,3,PS,0.00,Low,Chol,1
50,80%,3,PS,0.05,Low,Chol,1
80,80%,3,PS,0.05,Low,Chol,1
50,80%,3,PS,0.50,Low,Chol,1
80,80%,3,PS,0.50,Low,Chol,1
50,100%,3,PS,0.00,Low,DOPE,1
80,100%,3,PS,0.00,Low,DOPE,1
50,100%,3,PS,0.05,Low,DOPE,1
80,100%,3,PS,0.05,Low,DOPE,1
50,100%,3,PS,0.50,Low,DOPE,1
80,100%,3,PS,0.50,Low,DOPE,1
50,100%,5,PO,0.00,Low,Chol,1
80,100%,5,PO,0.00,Low,Chol,1
50,100%,5,PO,0.05,Low,Chol,1
80,100%,5,PO,0.05,Low,Chol,1
50,100%,5,PO,0.50,Low,Chol,1
80,100%,5,PO,0.50,Low,Chol,1
50,80%,5,PO,0.00,Low,Chol,1
80,80%,5,PO,0.00,Low,Chol,1
50,80%,5,PO,0.05,Low,Chol,1
80,80%,5,PO,0.05,Low,Chol,1
50,80%,5,PO,0.50,Low,Chol,1
80,80%,5,PO,0.50,Low,Chol,1
50,100%,5,PO,0.00,Low,DOPE,1
80,100%,5,PO,0.00,Low,DOPE,1
50,100%,5,PO,0.05,Low,DOPE,1
80,100%,5,PO,0.05,Low,DOPE,1
50,100%,5,PO,0.50,Low,DOPE,1
80,100%,5,PO,0.50,Low,DOPE,1
50,100%,5,PS,0.00,Low,Chol,1
80,100%,5,PS,0.00,Low,Chol,1
50,100%,5,PS,0.05,Low,Chol,1
80,100%,5,PS,0.05,Low,Chol,1
50,100%,5,PS,0.50,Low,Chol,1
80,100%,5,PS,0.50,Low,Chol,1
50,80%,5,PS,0.00,Low,Chol,1
80,80%,5,PS,0.00,Low,Chol,1
50,80%,5,PS,0.05,Low,Chol,1
80,80%,5,PS,0.05,Low,Chol,1
50,80%,5,PS,0.50,Low,Chol,1
80,80%,5,PS,0.50,Low,Chol,1
50,100%,5,PS,0.00,Low,DOPE,1
80,100%,5,PS,0.00,Low,DOPE,1
50,100%,5,PS,0.05,Low,DOPE,1
80,100%,5,PS,0.05,Low,DOPE,1
50,100%,5,PS,0.50,Low,DOPE,1
80,100%,5,PS,0.50,Low,DOPE,1
50,100%,3,PO,0.00,High,Chol,1
80,100%,3,PO,0.00,High,Chol,1
50,100%,3,PO,0.05,High,Chol,1
80,100%,3,PO,0.05,High,Chol,1
50,100%,3,PO,0.50,High,Chol,1
80,100%,3,PO,0.50,High,Chol,1
50,80%,3,PO,0.00,High,Chol,1
80,80%,3,PO,0.00,High,Chol,1
50,80%,3,PO,0.05,High,Chol,1
80,80%,3,PO,0.05,High,Chol,1
50,80%,3,PO,0.50,High,Chol,1
80,80%,3,PO,0.50,High,Chol,1
50,100%,3,PO,0.00,High,DOPE,1
80,100%,3,PO,0.00,High,DOPE,1
50,100%,3,PO,0.05,High,DOPE,1
80,100%,3,PO,0.05,High,DOPE,1
50,100%,3,PO,0.50,High,DOPE,1
80,100%,3,PO,0.50,High,DOPE,1
50,100%,3,PS,0.00,High,Chol,1
80,100%,3,PS,0.00,High,Chol,1
50,100%,3,PS,0.05,High,Chol,1
80,100%,3,PS,0.05,High,Chol,1
50,100%,3,PS,0.50,High,Chol,1
80,100%,3,PS,0.50,High,Chol,1
50,80%,3,PS,0.00,High,Chol,1
80,80%,3,PS,0.00,High,Chol,1
50,80%,3,PS,0.05,High,Chol,1
80,80%,3,PS,0.05,High,Chol,1
50,80%,3,PS,0.50,High,Chol,1
80,80%,3,PS,0.50,High,Chol,1
50,100%,3,PS,0.00,High,DOPE,1
80,100%,3,PS,0.00,High,DOPE,1
50,100%,3,PS,0.05,High,DOPE,1
80,100%,3,PS,0.05,High,DOPE,1
50,100%,3,PS,0.50,High,DOPE,1
80,100%,3,PS,0.50,High,DOPE,1
50,100%,5,PO,0.00,High,Chol,1
80,100%,5,PO,0.00,High,Chol,1
50,100%,5,PO,0.05,High,Chol,1
80,100%,5,PO,0.05,High,Chol,1
50,100%,5,PO,0.50,High,Chol,1
80,100%,5,PO,0.50,High,Chol,1
50,80%,5,PO,0.00,High,Chol,1
80,80%,5,PO,0.00,High,Chol,1
50,80%,5,PO,0.05,High,Chol,1
80,80%,5,PO,0.05,High,Chol,1
50,80%,5,PO,0.50,High,Chol,1
80,80%,5,PO,0.50,High,Chol,1
50,100%,5,PO,0.00,High,DOPE,1
80,100%,5,PO,0.00,High,DOPE,1
50,100%,5,PO,0.05,High,DOPE,1
80,100%,5,PO,0.05,High,DOPE,1
50,100%,5,PO,0.50,High,DOPE,1
80,100%,5,PO,0.50,High,DOPE,1
50,100%,5,PS,0.00,High,Chol,1
80,100%,5,PS,0.00,High,Chol,1
50,100%,5,PS,0.05,High,Chol,1
80,100%,5,PS,0.05,High,Chol,1
50,100%,5,PS,0.50,High,Chol,1
80,100%,5,PS,0.50,High,Chol,1
50,80%,5,PS,0.00,High,Chol,1
80,80%,5,PS,0.00,High,Chol,1
50,80%,5,PS,0.05,High,Chol,1
80,80%,5,PS,0.05,High,Chol,1
50,80%,5,PS,0.50,High,Chol,1
80,80%,5,PS,0.50,High,Chol,1
50,100%,5,PS,0.00,High,DOPE,1
80,100%,5,PS,0.00,High,DOPE,1
50,100%,5,PS,0.05,High,DOPE,1
80,100%,5,PS,0.05,High,DOPE,1
50,100%,5,PS,0.50,High,DOPE,1
80,100%,5,PS,0.50,High,DOPE,1
50,100%,3,PO,0.00,VHigh,DOPE,1
80,100%,3,PO,0.00,VHigh,DOPE,1
50,100%,3,PO,0.05,VHigh,DOPE,1
80,100%,3,PO,0.05,VHigh,DOPE,1
50,100%,3,PO,0.50,VHigh,DOPE,1
80,100%,3,PO,0.50,VHigh,DOPE,1
50,100%,3,PS,0.00,VHigh,DOPE,1
80,100%,3,PS,0.00,VHigh,DOPE,1
50,100%,3,PS,0.05,VHigh,DOPE,1
80,100%,3,PS,0.05,VHigh,DOPE,1
50,100%,3,PS,0.50,VHigh,DOPE,1
80,100%,3,PS,0.50,VHigh,DOPE,1
50,100%,5,PO,0.00,VHigh,DOPE,1
80,100%,5,PO,0.00,VHigh,DOPE,1
50,100%,5,PO,0.05,VHigh,DOPE,1
80,100%,5,PO,0.05,VHigh,DOPE,1
50,100%,5,PO,0.50,VHigh,DOPE,1
80,100%,5,PO,0.50,VHigh,DOPE,1
50,100%,5,PS,0.00,VHigh,DOPE,1
80,100%,5,PS,0.00,VHigh,DOPE,1
50,100%,5,PS,0.05,VHigh,DOPE,1
80,100%,5,PS,0.05,VHigh,DOPE,1
50,100%,5,PS,0.50,VHigh,DOPE,1
80,100%,5,PS,0.50,VHigh,DOPE,1
50,100%,3,PO,0.00,Low,Chol,10
80,100%,3,PO,0.00,Low,Chol,10
50,100%,3,PO,0.05,Low,Chol,10
80,100%,3,PO,0.05,Low,Chol,10
50,100%,3,PO,0.50,Low,Chol,10
80,100%,3,PO,0.50,Low,Chol,10
50,80%,3,PO,0.00,Low,Chol,10
80,80%,3,PO,0.00,Low,Chol,10
50,80%,3,PO,0.05,Low,Chol,10
80,80%,3,PO,0.05,Low,Chol,10
50,80%,3,PO,0.50,Low,Chol,10
80,80%,3,PO,0.50,Low,Chol,10
50,100%,3,PO,0.00,Low,DOPE,10
80,100%,3,PO,0.00,Low,DOPE,10
50,100%,3,PO,0.05,Low,DOPE,10
80,100%,3,PO,0.05,Low,DOPE,10
50,100%,3,PO,0.50,Low,DOPE,10
80,100%,3,PO,0.50,Low,DOPE,10
50,100%,3,PS,0.00,Low,Chol,10
80,100%,3,PS,0.00,Low,Chol,10
50,100%,3,PS,0.05,Low,Chol,10
80,100%,3,PS,0.05,Low,Chol,10
50,100%,3,PS,0.50,Low,Chol,10
80,100%,3,PS,0.50,Low,Chol,10
50,80%,3,PS,0.00,Low,Chol,10
80,80%,3,PS,0.00,Low,Chol,10
50,80%,3,PS,0.05,Low,Chol,10
80,80%,3,PS,0.05,Low,Chol,10
50,80%,3,PS,0.50,Low,Chol,10
80,80%,3,PS,0.50,Low,Chol,10
50,100%,3,PS,0.00,Low,DOPE,10
80,100%,3,PS,0.00,Low,DOPE,10
50,100%,3,PS,0.05,Low,DOPE,10
80,100%,3,PS,0.05,Low,DOPE,10
50,100%,3,PS,0.50,Low,DOPE,10
80,100%,3,PS,0.50,Low,DOPE,10
50,100%,5,PO,0.00,Low,Chol,10
80,100%,5,PO,0.00,Low,Chol,10
50,100%,5,PO,0.05,Low,Chol,10
80,100%,5,PO,0.05,Low,Chol,10
