Size,Lipid,Orientation,Backbone,OligoDensity,Attachment,Sequence,SEAP
50,100%,3,PO,Low,Chol,1,1
80,100%,3,PO,Low,Chol,1,1
50,80%,3,PO,Low,Chol,1,1
80,80%,3,PO,Low,Chol,1,1
50,100%,3,PO,Low,DOPE,1,1
80,100%,3,PO,Low,DOPE,1,1
50,100%,3,PS,Low,Chol,1,1
80,100%,3,PS,Low,Chol,1,1
50,80%,3,PS,Low,Chol,1,1
80,80%,3,PS,Low,Chol,1,1
50,100%,3,PS,Low,DOPE,1,1
80,100%,3,PS,Low,DOPE,1,1
50,100%,5,PO,Low,Chol,1,1
80,100%,5,PO,Low,Chol,1,1
50,80%,5,PO,Low,Chol,1,1
80,80%,5,PO,Low,Chol,1,1
50,100%,5,PO,Low,DOPE,1,1
80,100%,5,PO,Low,DOPE,1,1
50,100%,5,PS,Low,Chol,1,1
80,100%,5,PS,Low,Chol,1,1
50,80%,5,PS,Low,Chol,1,1
80,80%,5,PS,Low,Chol,1,1
50,100%,5,PS,Low,DOPE,1,1
80,100%,5,PS,Low,DOPE,1,1
50,100%,3,PO,High,Chol,1,1
80,100%,3,PO,High,Chol,1,1
50,80%,3,PO,High,Chol,1,1
80,80%,3,PO,High,Chol,1,1
50,100%,3,PO,High,DOPE,1,1
80,100%,3,PO,High,DOPE,1,1
50,100%,3,PO,High,DOPE,0,1
50,100%,3,PS,High,DOPE,0,1
50,100%,5,PO,High,DOPE,0,1
50,100%,5,PS,High,DOPE,0,1
50,100%,3,PS,High,Chol,1,1
80,100%,3,PS,High,Chol,1,1
50,80%,3,PS,High,Chol,1,1
80,80%,3,PS,High,Chol,1,1
50,100%,3,PS,High,DOPE,1,1
80,100%,3,PS,High,DOPE,1,1
80,100%,3,PO,High,DOPE,0,1
80,100%,3,PS,High,DOPE,0,1
80,100%,5,PO,High,DOPE,0,1
80,100%,5,PS,High,DOPE,0,1
50,100%,5,PO,High,Chol,1,1
80,100%,5,PO,High,Chol,1,1
50,80%,5,PO,High,Chol,1,1
80,80%,5,PO,High,Chol,1,1
50,100%,5,PO,High,DOPE,1,1
80,100%,5,PO,High,DOPE,1,1
50,100%,5,PS,High,Chol,1,1
80,100%,5,PS,High,Chol,1,1
50,80%,5,PS,High,Chol,1,1
80,80%,5,PS,High,Chol,1,1
50,100%,5,PS,High,DOPE,1,1
80,100%,5,PS,High,DOPE,1,1
50,100%,3,PO,Low,Chol,0,1
80,100%,3,PO,Low,Chol,0,1
50,80%,3,PO,Low,Chol,0,1
